Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1933;21101185816;"International Conference on Information Systems Security and Privacy";conference and proceedings;"21844356";"Science and Technology Publications, Lda";No;No;0,185;-;5;98;248;2761;195;245;1,12;28,17;22,74;0;5;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2024";"Computer Science (miscellaneous); Information Systems";"Computer Science"
1934;21100885073;"Proceedings of International Conference on Communications, Electromagnetic and Medical Applications, CEMA";conference and proceedings;"13142100";"Technical University of Sofia,Faculty of Telecommunication Technologies";No;No;0,185;-;2;18;38;229;8;33;0,29;12,72;41,38;0;6;Bulgaria;Eastern Europe;"Technical University of Sofia,Faculty of Telecommunication Technologies";"2018-2019, 2021-2023";"Computer Networks and Communications; Computer Science Applications; Health Informatics; Medicine (miscellaneous); Radiology, Nuclear Medicine and Imaging; Signal Processing";"Computer Science; Medicine"
1935;28587;"Biomedical Instrumentation and Technology";journal;"08998205, 19435967";"Allen Press Inc.";No;No;0,184;Q4;31;6;69;0;49;64;0,77;0,00;23,08;0;1;United States;Northern America;"Allen Press Inc.";"1989-2024";"Biomedical Engineering (Q4); Computer Networks and Communications (Q4)";"Computer Science; Engineering"
1936;21101134649;"Fusion: Practice and Applications";journal;"27700070, 26924048";"American Scientific Publishing Group (ASPG)";No;No;0,184;Q4;14;118;151;3288;310;151;1,99;27,86;32,47;0;40;United States;Northern America;"American Scientific Publishing Group (ASPG)";"2020-2025";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Computer Science (miscellaneous) (Q4); Information Systems (Q4)";"Computer Science"
1937;145041;"Informatik-Spektrum";journal;"01706012";"Springer Verlag";Yes;No;0,184;Q4;26;25;163;555;56;119;0,31;22,20;31,25;0;1;Germany;Western Europe;"Springer Verlag";"1985, 1987, 1999, 2005-2025";"Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science"
1938;21100863713;"International Journal of Knowledge and Systems Science";journal;"19478216, 19478208";"IGI Global Publishing";No;No;0,184;Q4;11;6;47;383;41;47;0,85;63,83;53,57;0;4;United States;Northern America;"IGI Global Publishing";"2017-2024";"Artificial Intelligence (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1939;54666;"International Journal of Networking and Virtual Organisations";journal;"14709503, 17415225";"Inderscience Enterprises Ltd";No;No;0,184;Q4;23;38;124;1644;123;122;0,95;43,26;35,59;0;8;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2002-2024";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems and Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1940;16947;"International Journal of Web Services Research";journal;"15465004, 15457362";"IGI Publishing";No;No;0,184;Q4;28;10;31;319;38;31;0,50;31,90;26,67;0;2;United States;Northern America;"IGI Publishing";"2004-2024";"Computer Networks and Communications (Q4); Information Systems (Q4); Software (Q4)";"Computer Science"
1941;21101206993;"Journal of Zhengzhou University - Natural Science";journal;"16716841";"Editorial Department of Journal of Zhengzhou University";No;No;0,184;Q4;9;72;215;1705;129;215;0,64;23,68;36,25;0;16;China;Asiatic Region;"Editorial Department of Journal of Zhengzhou University";"2020-2024";"Multidisciplinary (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4)";"Computer Science; Multidisciplinary"
1942;13196;"Progress in Computational Fluid Dynamics";journal;"14684349, 17415233";"Inderscience Enterprises Ltd";No;No;0,184;Q4;35;24;91;787;52;91;0,49;32,79;36,96;0;4;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2001-2025";"Computer Science Applications (Q4); Condensed Matter Physics (Q4)";"Computer Science; Physics and Astronomy"
1943;21100945266;"Science and Innovation";journal;"24099066, 24134996";"Publishing House Akademperiodyka";No;No;0,184;Q4;11;47;172;1328;152;172;1,15;28,26;43,09;1;27;Ukraine;Eastern Europe;"Publishing House Akademperiodyka";"2014-2025";"Law (Q3); Computer Science Applications (Q4); Engineering (miscellaneous) (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
1944;22382;"Huazhong Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Huazhong University of Science and Technology (Natural Science Edition)";journal;"16714512";"Huazhong University of Science and Technology";No;No;0,183;Q4;20;258;759;5249;561;759;0,75;20,34;29,19;0;30;China;Asiatic Region;"Huazhong University of Science and Technology";"2002-2025";"Computer Science (miscellaneous) (Q4)";"Computer Science"
1945;17300154986;"ICIC Express Letters";journal;"1881803X";"ICIC Express Letters Office";No;No;0,183;Q4;25;150;464;3024;331;462;0,72;20,16;28,75;0;21;Japan;Asiatic Region;"ICIC Express Letters Office";"2009-2025";"Computer Science (miscellaneous) (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
1946;21100839128;"Journal of Information and Communication Convergence Engineering";journal;"22348883, 22348255";"The Korean Institute of Information and Commucation Engineering";Yes;No;0,183;Q4;11;33;129;778;88;129;0,64;23,58;30,14;0;7;South Korea;Asiatic Region;"The Korean Institute of Information and Commucation Engineering";"2008, 2017-2024";"Media Technology (Q3); Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4); Information Systems (Q4)";"Computer Science; Engineering"
1947;21101247201;"Journal of Signal Processing";journal;"10030530";"Editorial Board of Journal of Signal Processing";No;No;0,183;Q4;11;188;691;5787;561;691;0,89;30,78;30,73;0;17;China;Asiatic Region;"Editorial Board of Journal of Signal Processing";"2020-2025";"Signal Processing (Q4)";"Computer Science"
1948;21101244194;"Turkish Journal of Mathematics and Computer Science";journal;"21481830";"Association of Mathematicians (MATDER)";No;No;0,183;Q4;5;58;136;1218;58;136;0,37;21,00;35,05;0;1;Turkey;Middle East;"Association of Mathematicians (MATDER)";"2020-2024";"Computer Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)";"Computer Science; Mathematics"
1949;19700201695;"Vascular Cell";journal;"2045824X";"Publiverse Online srl";Yes;No;0,183;Q4;38;0;3;0;2;3;0,00;0,00;0,00;0;0;United Kingdom;Western Europe;"Publiverse Online srl";"2011-2021, 2023";"Cell Biology (Q4); Computer Networks and Communications (Q4); Developmental Neuroscience (Q4); Neurology (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Neuroscience"
1950;21100197515;"International Conference on Control, Automation and Systems";conference and proceedings;"15987833";"IEEE Computer Society";No;No;0,183;-;28;292;932;3563;572;929;0,52;12,20;23,51;0;54;United States;Northern America;"IEEE Computer Society";"2011-2014, 2016-2024";"Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering";"Computer Science; Engineering"
1951;17700155007;"Communications in Computer and Information Science";book series;"18650937, 18650929";"Springer Science and Business Media Deutschland GmbH";No;No;0,182;Q4;75;7515;17276;168134;10543;16122;0,58;22,37;33,58;7;1780;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2007-2025";"Computer Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)";"Computer Science; Mathematics"
1952;21100198223;"International Journal of Reasoning-based Intelligent Systems";journal;"17550556, 17550564";"Inderscience";No;No;0,182;Q4;16;55;103;1120;94;101;1,01;20,36;60,19;0;5;Switzerland;Western Europe;"Inderscience";"2009-2024";"Computer Science (miscellaneous) (Q4); Engineering (miscellaneous) (Q4)";"Computer Science; Engineering"
1953;21100259128;"Journal of Advances in Information Fusion";journal;"15576418";"International Society of Information Fusion";No;No;0,182;Q4;17;8;25;249;30;24;1,29;31,13;30,00;0;1;United States;Northern America;"International Society of Information Fusion";"2013-2024";"Computer Vision and Pattern Recognition (Q4); Information Systems (Q4); Signal Processing (Q4)";"Computer Science"
1954;21100803360;"Proceedings of the Annual Conference of the Prognostics and Health Management Society, PHM";conference and proceedings;"23250178";"Prognostics and Health Management Society";No;No;0,182;-;19;70;150;1594;104;148;0,64;22,77;16,03;0;12;United States;Northern America;"Prognostics and Health Management Society";"2015-2024";"Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Health Information Management; Information Systems";"Computer Science; Engineering; Health Professions"
1955;26713;"Jisuanji Gongcheng/Computer Engineering";journal;"10003428";"Shanghai Jisuanji Xuehui/Shanghai Computer Society";No;No;0,181;Q3;21;453;1400;14406;1159;1400;0,93;31,80;36,38;0;56;China;Asiatic Region;"Shanghai Jisuanji Xuehui/Shanghai Computer Society";"1998, 2001-2006, 2019-2024";"Computer Graphics and Computer-Aided Design (Q3); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Software (Q4)";"Computer Science"
1956;21100981170;"Digital Studies/ Le Champ Numerique";journal;"19183666";"Open Library of Humanities";Yes;Yes;0,181;Q4;6;15;43;629;22;42;0,33;41,93;63,64;0;2;United Kingdom;Western Europe;"Open Library of Humanities";"2019-2025";"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
1957;21100222537;"Intelligent Systems Reference Library";book series;"18684394, 18684408";"Springer Science + Business Media";No;No;0,181;Q4;42;166;828;6476;852;17;0,98;39,01;0,00;0;66;United States;Northern America;"Springer Science + Business Media";"2009-2024";"Library and Information Sciences (Q3); Computer Science (miscellaneous) (Q4); Information Systems and Management (Q4)";"Computer Science; Decision Sciences; Social Sciences"
1958;14000156125;"Language Documentation and Conservation";journal;"19345275";"University of Hawaii Press";Yes;Yes;0,181;Q4;13;4;80;312;64;80;0,48;78,00;100,00;0;1;United States;Northern America;"University of Hawaii Press";"2016-2024";"Linguistics and Language (Q2); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1959;21101259043;"Science Talks";journal;"27725693";"Elsevier B.V.";Yes;No;0,181;Q4;6;5;95;89;59;95;0,62;17,80;12,50;0;3;Netherlands;Western Europe;"Elsevier B.V.";"2022, 2024-2025";"Computer Science (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Computer Science; Materials Science; Physics and Astronomy"
1960;21101107942;"International Conference on Internet of Things, Big Data and Security, IoTBDS - Proceedings";conference and proceedings;"21844976";"Science and Technology Publications, Lda";No;No;0,181;-;6;39;105;984;77;101;0,74;25,23;18,97;0;11;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Networks and Communications; Software";"Computer Science"
1961;21101194374;"Proceedings of the International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications";conference and proceedings;"21845921, 21844321";"Science and Technology Publications, Lda";No;No;0,181;-;8;332;599;9676;394;584;0,67;29,14;20,90;0;32;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2024";"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction";"Computer Science"
1962;21101021224;"AIUB Journal of Science and Engineering";journal;"16083679, 25204890";"AIUB Office of Research and Publication";No;No;0,180;Q4;6;20;88;622;81;88;1,02;31,10;48,89;0;6;Bangladesh;Asiatic Region;"AIUB Office of Research and Publication";"2018-2025";"Computer Science (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)";"Computer Science; Engineering; Mathematics"
1963;19700186890;"Journal of Electrical Systems";journal;"11125209";"";Yes;No;0,180;Q4;22;26;148;703;147;148;1,09;27,04;44,68;0;8;France;Western Europe;"";"2009-2024";"Computer Science (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering"
1964;21100916741;"Journal of Verification, Validation and Uncertainty Quantification";journal;"23772158, 23772166";"The American Society of Mechanical Engineers(ASME)";No;No;0,180;Q4;15;18;65;736;61;62;0,97;40,89;14,81;0;2;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"2016-2024";"Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
1965;19700201613;"Open Bioinformatics Journal";journal;"18750362";"Bentham Science Publishers";Yes;No;0,180;Q4;16;17;36;625;43;35;1,10;36,76;33,33;0;11;United Arab Emirates;Middle East;"Bentham Science Publishers";"2011-2015, 2017-2024";"Biomedical Engineering (Q4); Computer Science (miscellaneous) (Q4); Health Informatics (Q4)";"Computer Science; Engineering; Medicine"
1966;20600195633;"International Conference on Advanced Technologies for Communications";conference and proceedings;"21621020, 21621039";"IEEE Computer Society";No;No;0,180;-;22;0;245;0;191;233;0,59;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2011-2013, 2015-2023";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
1967;19700186848;"International Journal of Grid and High Performance Computing";journal;"19380259, 19380267";"IGI Global Publishing";No;No;0,179;Q4;16;4;65;83;76;65;1,10;20,75;42,86;0;1;United States;Northern America;"IGI Global Publishing";"2009-2024";"Computer Networks and Communications (Q4)";"Computer Science"
1968;14500154739;"Journal of Computational Methods in Sciences and Engineering";journal;"14727978";"SAGE Publications Ltd";No;No;0,179;Q4;22;223;599;4956;423;598;0,62;22,22;38,90;0;86;Netherlands;Western Europe;"SAGE Publications Ltd";"2001-2025";"Computational Mathematics (Q4); Computer Science Applications (Q4); Engineering (miscellaneous) (Q4)";"Computer Science; Engineering; Mathematics"
